"행정구역별","연령별",2010
"행정구역별","연령별",남자 (명)
"충청북도","20 - 24세",53167
"충청북도","25 - 29세",52374
"충청남도","20 - 24세",69426
"충청남도","25 - 29세",73891
"전라북도","20 - 24세",58354
"전라북도","25 - 29세",53760
"전라남도","20 - 24세",43959
"전라남도","25 - 29세",45280
"경상북도","20 - 24세",86895
"경상북도","25 - 29세",85347
"경상남도","20 - 24세",93679
"경상남도","25 - 29세",106906
